episode,timestep,reward
8,800,-92.4342
17,1600,-82.6003
26,2400,-84.2782
34,3200,-85.7387
43,4000,-75.5611
51,4800,-57.7786
59,5600,-68.7938
67,6400,-87.8469
74,7200,-67.9217
83,8000,-53.1225
91,8800,-41.6966
98,9600,-57.1215
104,10400,-70.6351
111,11200,-45.4718
115,12000,-77.3699
121,12800,-52.5423
125,13600,-14.3112
128,14400,-56.5842
133,15200,-34.388
137,16000,-52.3212
141,16800,-18.3874
144,17600,-6.5672
147,18400,40.5656
149,19200,27.552
152,20000,-1.9917
154,20800,29.9143
157,21600,6.8397
159,22400,29.1263
162,23200,13.5511
164,24000,58.4292
166,24800,13.4048
170,25600,28.5085
172,26400,82.714
174,27200,2.3369
176,28000,93.9312
178,28800,46.9196
180,29600,-7.4526
183,30400,48.4112
185,31200,12.0442
187,32000,71.6546
190,32800,40.5611
192,33600,71.4172
195,34400,-2.9699
197,35200,51.2876
200,36000,74.8028
204,36800,-48.2261
206,37600,37.0637
208,38400,116.1525
210,39200,42.9862
214,40000,33.6466
217,40800,26.7244
219,41600,111.4791
221,42400,106.0917
223,43200,82.9338
225,44000,16.6674
227,44800,125.0285
229,45600,105.0177
232,46400,53.3728
234,47200,89.814
236,48000,167.8069
238,48800,27.6387
241,49600,85.7357
243,50400,58.1157
245,51200,94.6994
247,52000,72.2467
249,52800,109.2514
252,53600,19.9673
254,54400,141.9895
256,55200,-28.7294
259,56000,65.715
261,56800,90.7393
263,57600,142.658
265,58400,52.1205
269,59200,72.5103
271,60000,62.9432
273,60800,133.7606
276,61600,40.1657
279,62400,55.7191
281,63200,65.5245
283,64000,143.1613
285,64800,158.6833
287,65600,62.6489
289,66400,147.3173
293,67200,13.2577
295,68000,116.4751
299,68800,27.308
301,69600,101.8915
303,70400,137.9818
305,71200,143.0958
307,72000,132.4919
309,72800,128.4614
311,73600,120.8527
313,74400,149.3091
315,75200,169.8727
318,76000,110.6948
321,76800,114.2031
324,77600,87.3471
327,78400,60.3515
331,79200,65.3361
333,80000,92.3285
336,80800,75.8151
340,81600,57.4089
342,82400,112.7312
344,83200,161.8246
347,84000,64.0607
349,84800,106.5878
352,85600,69.896
355,86400,1.5848
358,87200,2.4923
360,88000,159.9782
362,88800,25.7513
366,89600,74.1831
368,90400,132.6654
371,91200,36.5889
374,92000,100.7279
376,92800,63.8033
378,93600,124.3661
382,94400,73.773
384,95200,38.6917
387,96000,73.0707
389,96800,155.6797
391,97600,86.7544
394,98400,89.3037
397,99200,69.9686
399,100000,141.3406
